JAULA	PESO
A	525
A	465
A	125
A	525
A	535
A	485
A	525
A	475
A	575
A	475
A	275
A	585
A	485
A	435
A	225
A	445
A	525
A	575
A	575
A	475
A	435
A	425
A	575
A	545
A	445
A	525
A	475
A	475
A	425
A	425
A	585
A	425
A	675
A	225
A	425
A	575
A	555
A	445
A	435
A	525
A	545
A	515
A	105
A	275
A	585
A	475
A	485
A	375
A	425
A	475
A	525
A	545
A	275
A	625
A	525
A	625
A	375
A	565
A	425
A	535
A	525
A	445
A	575
A	545
A	425
A	575
A	475
A	465
A	425
A	515
A	425
A	465
A	475
A	425
A	425
A	645
A	385
A	475
A	445
A	455
A	575
A	425
A	215
A	190
A	465
A	275
A	140
A	215
A	160
A	150
A	150
A	325
A	475
A	475
A	445
A	145
A	225
A	425
A	645
A	425
A	545
A	565
A	425
A	525
A	575
A	575
A	485
A	455
A	535
A	585
A	575
A	475
A	515
A	485
A	525
A	725
A	475
A	575
A	575
A	515
A	525
A	525
A	625
A	585
A	625
A	575
A	475
A	485
A	525
A	525
A	445
A	525
A	695
A	625
A	425
A	615
A	405
A	665
A	545
A	525
A	555
A	665
A	555
A	575
A	545
A	475
A	525
A	465
A	475
A	375
A	525
A	675
A	475
A	575
A	625
A	325
A	425
A	525
A	565
A	525
A	625
A	475
A	525
A	545
A	565
A	425
A	475
A	375
A	575
A	525
A	565
A	565
A	545
A	445
A	425
A	475
A	575
A	525
A	375
A	475
A	625
A	405
A	415
A	515
A	575
A	525
A	345
A	725
A	475
A	375
A	575
A	525
A	475
A	425
A	575
A	625
A	575
A	525
A	325
A	425
A	175
A	215
A	125
A	175
A	275
B	530
B	490
B	570
B	460
B	450
B	550
B	500
B	390
B	390
B	560
B	350
B	550
B	490
B	470
B	350
B	660
B	500
B	200
B	370
B	380
B	550
B	570
B	480
B	550
B	340
B	450
B	170
B	550
B	550
B	570
B	470
B	660
B	450
B	530
B	500
B	450
B	360
B	200
B	450
B	550
B	550
B	460
B	450
B	330
B	550
B	110
B	550
B	450
B	470
B	490
B	560
B	470
B	170
B	550
B	550
B	540
B	490
B	180
B	650
B	450
B	500
B	340
B	350
B	450
B	440
B	520
B	180
B	200
B	210
B	350
B	150
B	270
B	150
B	360
B	150
B	160
B	270
B	470
B	500
B	570
B	500
B	510
B	650
B	550
B	600
B	400
B	550
B	550
B	600
B	500
B	450
B	510
B	600
B	550
B	670
B	500
B	650
B	500
B	540
B	450
B	600
B	600
B	550
B	590
B	450
B	340
B	500
B	650
B	430
B	450
B	450
B	480
B	350
B	520
B	550
B	590
B	450
B	550
B	400
B	420
B	450
B	550
B	230
B	500
B	550
B	590
B	570
B	500
B	550
B	550
B	490
B	620
B	370
B	390
B	490
B	550
B	160
B	530
B	600
B	370
B	650
B	400
B	170
B	570
B	150
B	570
B	450
B	250
B	370
B	170
B	400
B	200
B	450
B	400
B	500
B	500
B	310
B	470
B	470
B	380
B	550
B	570
B	480
B	550
B	340
B	450
B	170
B	550
B	550
B	570
B	470
B	660
B	450
B	530
B	500
B	450
B	360
B	200
B	450
B	550
B	550
B	460
B	450
B	330
B	550
B	200
B	550
B	450
B	470
B	490
B	560
B	470
B	170
B	550
B	550
B	540
B	490
B	180
B	650
B	450
B	500
B	340
B	350
B	450
B	440
B	570
B	230
B	250
B	260
